iter	Logloss	Accuracy
0	0.6597109449	0.8506581934
1	0.6254712828	0.8715388107
2	0.591900687	0.8860644576
3	0.572713567	0.8983204721
4	0.5363378951	0.9164775306
5	0.5078214411	0.9128461189
6	0.4886874365	0.91783931
7	0.470362632	0.9214707217
8	0.4493856897	0.9237403541
9	0.4263676729	0.9273717658
10	0.4125675616	0.9232864276
11	0.3931891401	0.9201089424
12	0.3746051194	0.9210167953
13	0.359665707	0.9228325011
14	0.3399771182	0.9291874716
15	0.3289487936	0.9355424421
16	0.3153018997	0.9369042215
17	0.2997978728	0.9396277803
18	0.2830110826	0.9418974126
19	0.2717374288	0.943259192
20	0.2651876486	0.9455288243
21	0.2563772133	0.9455288243
22	0.2505914181	0.9455288243
23	0.2395400525	0.9464366773
24	0.2334690252	0.9464366773
25	0.2264474836	0.949160236
26	0.2172600561	0.9523377213
27	0.2111323727	0.9509759419
28	0.2051683129	0.9518837948
29	0.202252502	0.9536995007
30	0.1980795147	0.9527916478
31	0.193052107	0.9573309124
