iter	Logloss	Accuracy
0	0.6927368722	0.5587834771
1	0.6919136287	0.5587834771
2	0.6915509012	0.5587834771
3	0.6912096628	0.5587834771
4	0.6908886413	0.5587834771
5	0.690586639	0.5587834771
6	0.6903025297	0.5587834771
7	0.6870825781	0.5587834771
8	0.6840582853	0.6595551521
9	0.6838205648	0.6595551521
10	0.6835969292	0.6486609169
11	0.6798702729	0.6690876078
12	0.6796779128	0.6518384022
13	0.6794969496	0.6518384022
14	0.6793267079	0.6518384022
15	0.6662228119	0.6690876078
16	0.6595405191	0.6654561961
17	0.6540621625	0.673172946
18	0.6539405041	0.6631865638
19	0.6538260524	0.6631865638
20	0.65371838	0.6631865638
21	0.6500970533	0.6631865638
22	0.6500062819	0.6631865638
23	0.6499208867	0.6631865638
24	0.6473891936	0.6749886518
25	0.6473131314	0.6749886518
26	0.6472415736	0.6736268724
27	0.6471742533	0.6727190195
28	0.6471109194	0.6740807989
29	0.6470513357	0.6695415343
30	0.64699528	0.6695415343
31	0.6469425433	0.6686336813
32	0.6468929289	0.6686336813
33	0.6468462519	0.6631865638
34	0.6440200876	0.6650022696
35	0.6439787545	0.6650022696
36	0.6439398681	0.6622787108
37	0.6439032837	0.6622787108
38	0.6438688648	0.6622787108
39	0.6438364831	0.6622787108
40	0.6419011881	0.6613708579
41	0.6418734815	0.6613708579
42	0.6418474146	0.6613708579
43	0.6418228904	0.6613708579
44	0.6389592533	0.6541080345
45	0.6367343248	0.6749886518
46	0.6367136312	0.6722650931
47	0.6366941621	0.6745347254
48	0.636675845	0.6745347254
49	0.6366586118	0.6722650931
50	0.6291000602	0.7185655924
51	0.6290858932	0.7185655924
52	0.6290725643	0.7190195188
53	0.629060024	0.7190195188
54	0.6290482256	0.7122106219
55	0.6290371251	0.7122106219
56	0.6290266813	0.6763504312
57	0.6290168554	0.6763504312
58	0.6290076106	0.6763504312
59	0.6289989127	0.6763504312
60	0.6289907293	0.6763504312
61	0.6221750628	0.7312755334
62	0.6221693038	0.7312755334
63	0.6221638854	0.7176577394
64	0.6221587875	0.7176577394
65	0.6221539911	0.7176577394
66	0.6221494783	0.7176577394
67	0.6221452324	0.7176577394
68	0.6221412376	0.7140263277
69	0.622137479	0.7140263277
70	0.6221339426	0.7140263277
71	0.6221306154	0.7140263277
72	0.622127485	0.7140263277
73	0.6152427903	0.7280980481
74	0.6152404272	0.7280980481
75	0.6152382039	0.7280980481
76	0.615236112	0.7280980481
77	0.6152341438	0.7280980481
78	0.615232292	0.7280980481
79	0.6058268783	0.7399001362
80	0.6058259921	0.7399001362
81	0.6042077948	0.7367226509
82	0.6042071455	0.7367226509
83	0.5998504423	0.7666817975
84	0.5998503169	0.7666817975
85	0.5998499063	0.7694053563
86	0.5998497086	0.7694053563
87	0.5998494732	0.7694053563
88	0.5998491124	0.767135724
89	0.5998488043	0.767135724
90	0.599848483	0.7662278711
91	0.5980980501	0.7675896505
92	0.5980979922	0.7675896505
93	0.5980977516	0.7675896505
94	0.598097748	0.7675896505
95	0.5980977445	0.7675896505
96	0.5980975185	0.7675896505
97	0.5980973355	0.7675896505
98	0.5980971555	0.7675896505
99	0.598097126	0.7675896505
100	0.5980970692	0.7675896505
101	0.592221686	0.779845665
102	0.5922216737	0.779845665
103	0.5922216447	0.779845665
104	0.5922215961	0.779845665
105	0.592221504	0.779845665
106	0.5922214835	0.779845665
107	0.5842183844	0.8057194734
108	0.5842183833	0.8057194734
109	0.5842183746	0.8057194734
110	0.5842183704	0.8057194734
111	0.584218368	0.8057194734
112	0.5842183631	0.8057194734
113	0.5842183593	0.8057194734
114	0.5842183547	0.8057194734
115	0.5737588231	0.8206990468
116	0.5737588171	0.8206990468
117	0.5737588119	0.8206990468
118	0.5737588053	0.8206990468
119	0.5737588001	0.8206990468
120	0.573758798	0.8206990468
121	0.5737587936	0.8206990468
122	0.5737587898	0.8206990468
123	0.5737587852	0.8206990468
124	0.5737587834	0.8206990468
125	0.5737587799	0.8206990468
126	0.5737587799	0.8206990468
127	0.5737587799	0.8206990468
128	0.5737587799	0.8206990468
129	0.5737587799	0.8206990468
130	0.5723615208	0.8206990468
131	0.5723615208	0.8206990468
132	0.5723615207	0.8206990468
133	0.5723615207	0.8206990468
134	0.5723615207	0.8206990468
135	0.5723615206	0.8206990468
136	0.5688757903	0.8193372674
137	0.5657256642	0.8175215615
138	0.5657256528	0.8175215615
139	0.5572415561	0.8266000908
140	0.5572415543	0.8266000908
141	0.5572415257	0.8266000908
142	0.5572415189	0.8266000908
143	0.5572414658	0.8266000908
144	0.557241454	0.8266000908
145	0.557241445	0.8266000908
146	0.5572414389	0.8266000908
147	0.5572414274	0.8266000908
148	0.5572414108	0.8266000908
149	0.555547337	0.8243304585
150	0.5555473176	0.8243304585
151	0.5506082159	0.8315932819
152	0.5506081507	0.8315932819
153	0.5506081323	0.8315932819
154	0.5506081015	0.8315932819
155	0.5506080944	0.8315932819
156	0.5459774193	0.8379482524
157	0.545977392	0.8379482524
158	0.5459773582	0.8379482524
159	0.5459773461	0.8379482524
160	0.5459773401	0.8379482524
161	0.5459772459	0.8379482524
162	0.5459772322	0.8379482524
163	0.5459772186	0.8379482524
164	0.5459772172	0.8379482524
165	0.5459772159	0.8379482524
166	0.5459772145	0.8379482524
167	0.5459772131	0.8379482524
168	0.5459771871	0.8379482524
169	0.5459771655	0.8379482524
170	0.5416356057	0.8325011348
171	0.5404266157	0.8334089877
172	0.5404264476	0.8334089877
173	0.5404262895	0.8334089877
174	0.5404262892	0.8334089877
175	0.5383366032	0.8334089877
176	0.5383365402	0.8334089877
177	0.5383365369	0.8334089877
178	0.5383364752	0.8334089877
