iter	Logloss	Accuracy
283	0.2353491393	0.9169314571
284	0.2348852339	0.9169314571
285	0.2347659197	0.9173853836
286	0.2343829308	0.9173853836
287	0.2343765113	0.9173853836
288	0.234373899	0.9173853836
289	0.2342677529	0.9173853836
290	0.2341046473	0.9173853836
291	0.2340292281	0.9173853836
292	0.2339488664	0.9173853836
293	0.2336930175	0.9173853836
294	0.2335800277	0.9173853836
295	0.2333112436	0.9173853836
296	0.2331831969	0.9173853836
297	0.2329555804	0.9173853836
298	0.2326029653	0.9173853836
299	0.2325463132	0.9173853836
300	0.2323310454	0.9173853836
301	0.232002344	0.91783931
302	0.2316830735	0.91783931
303	0.2315023135	0.9173853836
304	0.2314368859	0.9173853836
305	0.2312757691	0.9173853836
306	0.2310675351	0.91783931
307	0.2307699214	0.91783931
308	0.2305203594	0.91783931
309	0.2301609108	0.91783931
310	0.2300307829	0.91783931
311	0.2299078731	0.91783931
312	0.2297106804	0.9182932365
313	0.2296187408	0.9182932365
314	0.2295704076	0.9182932365
315	0.2293702216	0.9182932365
316	0.2291105381	0.9182932365
317	0.2288561126	0.9182932365
318	0.228722395	0.9182932365
319	0.2285035689	0.9182932365
320	0.2284539848	0.9182932365
321	0.2280364947	0.9182932365
322	0.2277384287	0.918747163
323	0.2273374974	0.9192010894
324	0.2270109198	0.9192010894
325	0.2269175517	0.9196550159
326	0.2268284144	0.9196550159
327	0.2266497999	0.9201089424
328	0.2265990796	0.9201089424
329	0.2264386624	0.9201089424
330	0.2260853748	0.9201089424
331	0.2257209466	0.9201089424
332	0.2257045148	0.9201089424
333	0.2256689539	0.9201089424
334	0.2253695777	0.9201089424
335	0.2252054085	0.9201089424
336	0.2251854868	0.9201089424
337	0.2250665308	0.9205628688
338	0.2249589039	0.9205628688
339	0.2247521347	0.9205628688
340	0.2245953952	0.9205628688
341	0.2243232158	0.9205628688
342	0.2241035404	0.9205628688
343	0.2239801633	0.9205628688
344	0.2238182597	0.9205628688
345	0.2236265539	0.9214707217
346	0.2234522261	0.9214707217
347	0.2233181432	0.9214707217
348	0.2232324926	0.9214707217
349	0.2229120964	0.9214707217
350	0.2226534575	0.9214707217
351	0.2224164639	0.9214707217
352	0.2221281095	0.9214707217
353	0.2220178789	0.9214707217
354	0.2218985988	0.9219246482
355	0.2217126193	0.9219246482
356	0.2215940638	0.9219246482
357	0.2213264928	0.9219246482
358	0.221102754	0.9219246482
359	0.2208893979	0.9223785747
360	0.2207720052	0.9223785747
361	0.2206647526	0.9219246482
362	0.2202504162	0.9219246482
363	0.2198332519	0.9223785747
364	0.2197300792	0.9223785747
365	0.2196363239	0.9228325011
366	0.2195467915	0.9223785747
367	0.219401999	0.9223785747
368	0.2192349795	0.9223785747
369	0.2191652432	0.9223785747
