iter	Passed	Remaining
0	25	25124
1	59	29787
2	115	38273
3	186	46419
4	241	48024
5	313	51882
6	377	53525
7	413	51225
8	439	48416
9	493	48891
10	542	48759
11	581	47910
12	649	49341
13	701	49429
14	744	48872
15	800	49254
16	865	50055
17	911	49727
18	978	50516
19	1024	50198
20	1063	49602
21	1106	49193
22	1155	49104
23	1233	50147
24	1263	49281
25	1297	48620
26	1322	47646
27	1370	47580
28	1449	48540
29	1502	48591
30	1555	48625
31	1609	48678
32	1646	48247
33	1674	47571
34	1727	47621
35	1772	47467
36	1845	48039
37	1893	47943
38	1931	47584
39	1985	47647
40	2025	47387
41	2082	47493
42	2128	47365
43	2182	47415
44	2232	47380
45	2292	47537
46	2341	47471
47	2383	47267
48	2432	47209
49	2487	47263
50	2527	47030
51	2591	47251
52	2653	47419
53	2707	47430
54	2736	47019
55	2793	47086
56	2872	47529
57	2939	47743
58	2990	47698
59	3036	47576
60	3093	47612
61	3157	47776
62	3209	47731
63	3270	47833
64	3327	47860
65	3381	47847
66	3441	47921
67	3503	48016
68	3547	47859
69	3595	47774
70	3652	47787
71	3714	47869
72	3777	47974
73	3844	48106
74	3893	48019
75	3951	48046
76	4016	48140
77	4063	48038
78	4123	48077
79	4179	48067
80	4221	47893
81	4271	47823
82	4309	47611
83	4357	47513
84	4406	47436
85	4468	47488
86	4500	47230
87	4552	47178
88	4624	47334
89	4665	47173
90	4727	47222
91	4783	47209
92	4842	47224
93	4888	47113
94	4939	47052
95	5002	47107
96	5073	47234
97	5141	47320
98	5189	47232
99	5227	47051
100	5287	47064
101	5353	47128
102	5416	47169
103	5458	47028
104	5523	47078
105	5576	47032
106	5610	46820
107	5679	46904
108	5727	46821
109	5760	46608
110	5810	46535
111	5858	46449
112	5922	46485
113	5992	46574
114	6062	46656
115	6108	46554
116	6170	46572
117	6209	46415
118	6270	46425
119	6325	46386
120	6389	46414
121	6453	46443
122	6527	46539
123	6596	46603
124	6664	46653
125	6717	46597
126	6777	46588
127	6824	46493
128	6863	46341
129	6924	46343
130	6964	46201
131	7012	46112
132	7078	46142
133	7152	46225
134	7200	46133
135	7231	45940
136	7276	45839
137	7334	45815
138	7398	45829
139	7457	45811
140	7517	45796
141	7576	45781
142	7637	45770
143	7692	45729
144	7751	45706
145	7800	45627
146	7859	45606
147	7935	45684
148	7983	45597
149	8031	45511
150	8089	45481
151	8144	45435
152	8189	45333
153	8230	45215
154	8282	45151
155	8332	45079
156	8398	45096
157	8449	45027
158	8490	44910
159	8551	44892
160	8636	45004
161	8676	44883
162	8732	44840
163	8789	44804
164	8835	44712
165	8901	44722
166	8951	44651
167	8999	44571
168	9074	44619
169	9144	44645
170	9169	44451
171	9242	44494
172	9302	44468
173	9354	44408
174	9415	44389
175	9481	44392
176	9512	44232
177	9568	44188
178	9623	44138
179	9671	44058
180	9727	44016
181	9767	43900
182	9820	43843
183	9863	43740
184	9903	43630
185	9978	43669
186	10062	43748
187	10127	43741
188	10179	43678
189	10242	43667
190	10291	43592
191	10350	43558
192	10418	43564
193	10483	43555
194	10539	43509
195	10609	43520
196	10662	43460
197	10713	43394
198	10732	43198
199	10777	43109
200	10819	43008
201	10871	42948
202	10902	42804
203	10949	42724
204	10983	42595
205	11032	42521
206	11086	42470
207	11142	42427
208	11207	42416
209	11267	42388
210	11304	42272
211	11336	42137
212	11375	42029
213	11420	41945
214	11485	41934
215	11555	41942
216	11598	41851
217	11656	41813
218	11727	41823
