iter	Logloss	Accuracy
0	0.652471821	0.8629142079
1	0.6216651253	0.8955969133
2	0.5829819394	0.8955969133
3	0.5430476786	0.9096686337
4	0.5101146754	0.9192010894
5	0.4817062757	0.91783931
6	0.460238086	0.9219246482
7	0.4459793886	0.9128461189
8	0.4245960863	0.9205628688
9	0.3973605366	0.924648207
10	0.3781015457	0.9287335452
11	0.3588816512	0.9328188833
12	0.3446747429	0.9387199274
13	0.3335872906	0.9400817068
14	0.3211054879	0.9382660009
15	0.304700567	0.937358148
16	0.2962804838	0.9391738538
17	0.2817896456	0.9477984567
18	0.271481478	0.949160236
19	0.2570262015	0.9536995007
20	0.2490464467	0.9555152065
21	0.2442669507	0.955969133
22	0.2387903176	0.9550612801
23	0.2294175085	0.9564230595
24	0.2237350246	0.955969133
25	0.2138742729	0.9568769859
26	0.2078846343	0.9555152065
27	0.2014057687	0.9555152065
28	0.1951034104	0.9555152065
29	0.1894662256	0.9555152065
30	0.1824769556	0.9573309124
31	0.1765461783	0.9600544712
32	0.1725218513	0.9600544712
33	0.1698011518	0.9614162506
34	0.1653933359	0.9614162506
35	0.1631298347	0.96277803
36	0.1593948381	0.96277803
37	0.1560080685	0.9650476623
38	0.1532818021	0.9645937358
39	0.1483631627	0.9664094417
40	0.144911566	0.968679074
41	0.1428901374	0.9691330005
42	0.1401044032	0.9704947798
43	0.1380161919	0.9691330005
44	0.1360707318	0.9704947798
45	0.1329897933	0.9718565592
46	0.13090905	0.9718565592
47	0.1286401091	0.9718565592
48	0.1264941713	0.9727644122
49	0.1249434037	0.9727644122
50	0.1235380445	0.9741261916
51	0.1222049064	0.9741261916
52	0.1208506515	0.974580118
53	0.1191598479	0.974580118
54	0.1174630844	0.9741261916
55	0.11529296	0.974580118
56	0.113974735	0.974580118
57	0.1114884095	0.9759418974
58	0.1099521864	0.9759418974
59	0.1085403461	0.9759418974
60	0.105957124	0.9773036768
61	0.1033607318	0.9786654562
62	0.1010845809	0.9800272356
63	0.09998241695	0.9809350885
64	0.09803087982	0.9809350885
65	0.09740323222	0.9818429414
66	0.09679873431	0.9818429414
67	0.09537320371	0.9832047208
68	0.09394048115	0.9832047208
69	0.0925857137	0.9845665002
70	0.09067684489	0.9845665002
71	0.0901953902	0.9845665002
72	0.08880635062	0.9845665002
73	0.08762139436	0.9845665002
74	0.08682236405	0.9845665002
75	0.08497852665	0.9845665002
76	0.08432455265	0.9845665002
77	0.08378548331	0.9845665002
78	0.08232663748	0.9854743532
79	0.08085861654	0.9854743532
80	0.08024081415	0.9845665002
81	0.07871989876	0.9845665002
82	0.07786842082	0.9868361325
83	0.0768979654	0.9877439855
84	0.0750417103	0.9881979119
85	0.07376168793	0.9891057649
86	0.07323697163	0.9891057649
87	0.07186173838	0.9891057649
88	0.07038151003	0.9891057649
89	0.06888827775	0.9891057649
90	0.0684768654	0.9904675443
91	0.06808846736	0.9913753972
92	0.06729184821	0.9913753972
93	0.06635154111	0.9922832501
94	0.06593788652	0.9922832501
95	0.064398689	0.9922832501
96	0.06418289331	0.9922832501
97	0.06393093045	0.9922832501
98	0.06306254301	0.9922832501
99	0.06227459068	0.993191103
100	0.06166086596	0.9936450295
101	0.06082471204	0.9936450295
102	0.0604464975	0.9936450295
103	0.059125302	0.9936450295
104	0.05837675274	0.9936450295
105	0.05754338615	0.9936450295
106	0.05684029832	0.9936450295
107	0.05632834523	0.9936450295
108	0.05556461816	0.9950068089
109	0.05513368971	0.9950068089
110	0.05410117646	0.9950068089
111	0.05377747704	0.9950068089
112	0.05290910094	0.9950068089
113	0.05274188753	0.9950068089
114	0.05167878592	0.9950068089
115	0.05113666054	0.9950068089
116	0.05070582093	0.9950068089
117	0.05022056433	0.9950068089
118	0.04964487823	0.9950068089
119	0.04936296195	0.9950068089
120	0.04868252731	0.9959146618
121	0.04830996532	0.9972764412
122	0.04782639779	0.9972764412
123	0.04710366347	0.9972764412
124	0.04624500008	0.9972764412
125	0.04564565228	0.9972764412
126	0.04491788134	0.9972764412
127	0.04442450867	0.9972764412
128	0.04404554805	0.9972764412
129	0.04347770044	0.9972764412
130	0.0430743169	0.9972764412
131	0.0429844633	0.9972764412
132	0.04279835932	0.9981842941
133	0.04202078451	0.9981842941
134	0.04143859554	0.9986382206
135	0.0410327853	0.9986382206
136	0.04068990439	0.9990921471
137	0.03996224853	0.9990921471
138	0.03905554951	0.9990921471
139	0.03837694811	0.9990921471
140	0.03787557642	0.9990921471
141	0.03753889902	0.9990921471
142	0.0371459639	0.9990921471
143	0.03643267624	0.9990921471
144	0.03630588316	0.9990921471
145	0.03616003367	0.9990921471
146	0.03572845405	0.9990921471
147	0.03539268635	0.9990921471
148	0.03505352829	0.9990921471
149	0.03484147789	0.9990921471
150	0.03455932329	0.9990921471
151	0.03435151619	0.9990921471
152	0.0340466136	0.9990921471
153	0.03388171646	0.9990921471
154	0.03334155216	0.9990921471
155	0.03298000061	0.9990921471
156	0.03274191932	0.9990921471
157	0.03215533486	0.9990921471
158	0.03194372392	0.9990921471
159	0.03164697706	0.9990921471
160	0.03127115835	0.9990921471
161	0.03111515748	0.9990921471
162	0.03075920157	0.9990921471
163	0.03055626758	0.9990921471
164	0.03036856781	0.9990921471
165	0.02960305701	0.9990921471
166	0.02895935313	0.9990921471
167	0.02883446863	0.9990921471
168	0.02840221188	0.9990921471
169	0.02806684812	0.9990921471
170	0.02780485648	0.9990921471
171	0.02759027322	0.9990921471
172	0.02737516203	0.9990921471
173	0.02696150582	0.9990921471
174	0.02659851315	0.9990921471
175	0.02647759584	0.9990921471
176	0.02595434018	0.9990921471
177	0.0258020076	0.9990921471
178	0.02562311623	0.9990921471
179	0.02549785704	0.9990921471
180	0.02541780217	0.9990921471
181	0.02514358983	0.9990921471
182	0.02492156014	0.9990921471
183	0.02468916781	0.9990921471
184	0.0245578802	0.9990921471
185	0.02422966564	0.9990921471
186	0.024145194	0.9990921471
187	0.02397298789	0.9990921471
188	0.02376749696	0.9990921471
189	0.02362837236	0.9990921471
190	0.02339343062	0.9990921471
191	0.02322743587	0.9990921471
192	0.02295800913	0.9990921471
193	0.02290208856	0.9990921471
194	0.02265237657	0.9990921471
195	0.02249895806	0.9990921471
196	0.02216906852	0.9990921471
197	0.02175897429	0.9990921471
198	0.02155231536	0.9990921471
199	0.02121117011	0.9990921471
200	0.02091782828	0.9990921471
201	0.02067588888	0.9990921471
202	0.02053095811	0.9995460735
203	0.02024124784	0.9995460735
204	0.02011672927	0.9995460735
205	0.01997444691	0.9995460735
206	0.01962601729	0.9995460735
207	0.01936828885	0.9995460735
208	0.01899092095	0.9995460735
209	0.01886250021	0.9995460735
210	0.01860025382	1
211	0.01845026996	1
212	0.01824198755	1
213	0.01811933906	1
214	0.01799224561	1
215	0.01782906454	1
216	0.017503198	1
217	0.01733481058	1
218	0.01722534384	1
219	0.01716165787	1
220	0.01699749011	1
221	0.0167411801	1
222	0.01659702848	1
223	0.01635479012	1
224	0.01625905674	1
225	0.01615033849	1
226	0.01602019169	1
227	0.0158106626	1
228	0.01563149887	1
229	0.01551516481	1
230	0.0153849217	1
231	0.01520094595	1
232	0.01508490121	1
233	0.01481741399	1
234	0.01473487481	1
235	0.01465058849	1
236	0.01455896001	1
237	0.01442398528	1
238	0.01426994082	1
239	0.01407163888	1
240	0.01393292638	1
241	0.01381907897	1
242	0.01368308518	1
243	0.01362961924	1
244	0.01350159845	1
245	0.0133773741	1
246	0.0132973176	1
247	0.01324944877	1
248	0.01318200074	1
249	0.01304691486	1
250	0.01291423241	1
251	0.01284920205	1
252	0.0127388618	1
253	0.01263544835	1
254	0.0125405671	1
255	0.01230410081	1
256	0.01216994841	1
257	0.01196514385	1
258	0.0117782709	1
259	0.01167972816	1
260	0.0116011955	1
261	0.01147710903	1
262	0.01139893262	1
263	0.01132225401	1
264	0.01124062642	1
265	0.01109892949	1
266	0.01104855104	1
267	0.01094280764	1
268	0.01087429864	1
269	0.010796212	1
270	0.01072377376	1
271	0.01063684933	1
272	0.01057725473	1
273	0.0104671677	1
274	0.01037161445	1
275	0.01026184731	1
276	0.01016560447	1
277	0.01012790182	1
278	0.009997147539	1
279	0.009900183274	1
280	0.00982235315	1
281	0.009750159407	1
282	0.009663892357	1
283	0.009555832196	1
284	0.009481165436	1
285	0.009416204362	1
286	0.00931640452	1
287	0.009220098923	1
288	0.009156171309	1
289	0.009067843829	1
290	0.008946775183	1
291	0.008885306787	1
292	0.008798428195	1
293	0.008743453246	1
294	0.008699177728	1
295	0.008620587442	1
296	0.008487082519	1
297	0.008441464777	1
298	0.008368944449	1
299	0.008293929747	1
300	0.00821716687	1
301	0.008150482699	1
302	0.008032684875	1
303	0.007965490437	1
304	0.007862798521	1
305	0.007814071396	1
306	0.007717081806	1
307	0.007681746242	1
308	0.007628598903	1
309	0.007571018164	1
310	0.007499571172	1
311	0.007465382445	1
312	0.007390901889	1
313	0.007299378681	1
314	0.007239668728	1
315	0.007190555398	1
316	0.007083776074	1
317	0.007051129971	1
318	0.006986056476	1
319	0.006907604445	1
320	0.006895143149	1
321	0.006870670541	1
322	0.006848276381	1
323	0.006796199004	1
324	0.006718662476	1
325	0.006653315002	1
326	0.006597840699	1
327	0.006551754985	1
328	0.006514686014	1
329	0.006458759646	1
330	0.006418809135	1
331	0.006342348967	1
332	0.006293475714	1
333	0.00621142507	1
334	0.006146722333	1
335	0.006105565396	1
336	0.006055567	1
337	0.005997153626	1
338	0.005954088036	1
339	0.005906758206	1
340	0.005891619237	1
341	0.005818262981	1
342	0.005790277482	1
343	0.005754125123	1
