iter	Logloss	Accuracy
0	0.6927432131	0.5583295506
1	0.6920302781	0.5583295506
2	0.6916730522	0.5583295506
3	0.6913369885	0.5583295506
4	0.6910208342	0.5583295506
5	0.6907234102	0.5583295506
6	0.6904436073	0.5583295506
7	0.6872349963	0.5583295506
8	0.678558075	0.6541080345
9	0.6783344407	0.6541080345
10	0.6781240561	0.6541080345
11	0.6755991999	0.6404902406
12	0.6754146117	0.6404902406
13	0.6752409595	0.6404902406
14	0.6750775953	0.5583295506
15	0.662143923	0.6504766228
16	0.6538357829	0.7566954153
17	0.6534320999	0.7471629596
18	0.6533109231	0.6659101226
19	0.6531969243	0.6659101226
20	0.6530896778	0.6554698139
21	0.6448854727	0.7807535179
22	0.6447932815	0.7807535179
23	0.6447065502	0.7725828416
24	0.6300343618	0.8202451203
25	0.629961458	0.8039037676
26	0.6298928713	0.8025419882
27	0.629828346	0.8025419882
28	0.6297676413	0.8025419882
29	0.629710531	0.8002723559
30	0.629656802	0.8002723559
31	0.6296062541	0.7961870177
32	0.6295586988	0.7880163414
33	0.6295139588	0.7880163414
34	0.6222025302	0.8147980027
35	0.6221644875	0.8147980027
36	0.6221286967	0.8129822969
37	0.6220950243	0.8107126645
38	0.622063345	0.8007262823
39	0.6220335406	0.8007262823
40	0.6157244108	0.8120744439
41	0.61570082	0.8120744439
42	0.6156786252	0.8120744439
43	0.6156577438	0.8120744439
44	0.6114438664	0.8107126645
45	0.6091973995	0.8102587381
46	0.609180802	0.8102587381
47	0.6091651864	0.8093508852
48	0.6091504947	0.8093508852
49	0.6091366722	0.8093508852
50	0.6068585278	0.8057194734
51	0.6068470529	0.8057194734
52	0.6068362568	0.8057194734
53	0.6068260994	0.8048116205
54	0.6068165428	0.8048116205
55	0.6068075514	0.8048116205
56	0.606799092	0.8048116205
57	0.6067911329	0.8048116205
58	0.6067836445	0.8048116205
59	0.6067765991	0.8048116205
60	0.6067699704	0.8048116205
61	0.6067637337	0.8048116205
62	0.6067578659	0.8034498411
63	0.6067523451	0.8034498411
64	0.6067471508	0.8034498411
65	0.6046249275	0.7957330912
66	0.6027768944	0.7998184294
67	0.602773203	0.7975487971
68	0.6027697299	0.7975487971
69	0.6027664621	0.7975487971
70	0.6027633876	0.7975487971
71	0.6027604949	0.7975487971
72	0.5914839597	0.8175215615
73	0.5914818999	0.8175215615
74	0.5914799619	0.8175215615
75	0.5914781386	0.8175215615
76	0.591476423	0.8175215615
77	0.581829409	0.830685429
78	0.5800659697	0.830685429
79	0.5800653329	0.830685429
80	0.5739235813	0.830685429
81	0.5739233082	0.830685429
82	0.5692492894	0.8343168407
83	0.5692492882	0.8343168407
84	0.5692492772	0.8343168407
85	0.5692492527	0.8343168407
86	0.5609949283	0.8438492964
87	0.5609949262	0.8438492964
88	0.553119002	0.8456650023
89	0.553119002	0.8456650023
90	0.553119002	0.8456650023
91	0.553119002	0.8456650023
92	0.553119002	0.8456650023
93	0.553119002	0.8456650023
94	0.553119002	0.8456650023
95	0.553119002	0.8456650023
96	0.553119002	0.8456650023
97	0.553119002	0.8456650023
98	0.553119002	0.8456650023
99	0.553119002	0.8456650023
100	0.553119002	0.8456650023
101	0.553119002	0.8456650023
102	0.553119002	0.8456650023
103	0.5506245052	0.8470267817
104	0.550624503	0.8470267817
105	0.5506244859	0.8470267817
106	0.5506244815	0.8470267817
107	0.5506244657	0.8470267817
108	0.5506244509	0.8470267817
109	0.5471450869	0.8443032229
110	0.5434087428	0.8429414435
111	0.5415728105	0.8402178847
112	0.5415727906	0.8402178847
113	0.5415727198	0.8402178847
114	0.5415727195	0.8402178847
115	0.5415727192	0.8402178847
116	0.5415727188	0.8402178847
117	0.5415727185	0.8402178847
118	0.5372729486	0.8443032229
119	0.537272709	0.8443032229
120	0.5372727054	0.8443032229
121	0.5372726768	0.8443032229
122	0.5372725468	0.8443032229
123	0.5372725451	0.8443032229
124	0.5370807412	0.8443032229
125	0.5370807393	0.8443032229
126	0.5370805043	0.8443032229
127	0.5322431138	0.8438492964
128	0.5322428375	0.8438492964
129	0.5322425776	0.8438492964
130	0.5306244606	0.8461189287
131	0.5282038417	0.8497503404
132	0.5282035727	0.8497503404
133	0.5268011722	0.8524738992
134	0.5268011592	0.8524738992
135	0.5268007514	0.8524738992
136	0.5184444744	0.8533817522
137	0.5184440401	0.8533817522
138	0.5184437261	0.8533817522
139	0.5121097135	0.8565592374
140	0.5121092907	0.8565592374
141	0.5121088929	0.8565592374
142	0.5121085417	0.8565592374
143	0.5121085305	0.8565592374
144	0.5121082922	0.8565592374
145	0.5121082707	0.8565592374
146	0.5098988435	0.855197458
147	0.5098984415	0.855197458
148	0.5098980983	0.855197458
149	0.5098977404	0.855197458
150	0.5098974037	0.855197458
151	0.5098971161	0.855197458
152	0.5075442289	0.8574670903
153	0.5075437267	0.8574670903
154	0.5075432542	0.8574670903
155	0.5075428095	0.8574670903
156	0.5075424686	0.8574670903
157	0.5075420704	0.8574670903
158	0.5075419668	0.8574670903
159	0.5061880297	0.8570131639
160	0.5047864682	0.8574670903
161	0.5027515829	0.8565592374
162	0.5027511873	0.8574670903
163	0.502750815	0.8574670903
164	0.5027504648	0.8574670903
165	0.5027501352	0.8574670903
166	0.5027498251	0.8574670903
167	0.5027495333	0.8574670903
168	0.5027492588	0.8574670903
169	0.5027490005	0.8574670903
170	0.5027489161	0.8574670903
171	0.5027488531	0.8574670903
172	0.5027486188	0.8588288697
173	0.5027485787	0.8588288697
174	0.502748551	0.8588288697
175	0.5027483346	0.8588288697
176	0.4999145073	0.8592827962
177	0.4999141597	0.8592827962
178	0.4999138328	0.8592827962
179	0.4999135251	0.8592827962
180	0.4999134565	0.8592827962
181	0.4999134542	0.8592827962
