iter	Passed	Remaining
0	3	3296
1	5	2890
2	8	2805
3	11	2954
4	16	3188
5	18	3101
6	22	3216
7	26	3246
8	30	3374
9	34	3394
10	37	3376
11	40	3298
12	42	3241
13	44	3102
14	45	2998
15	49	3015
16	50	2921
17	53	2909
18	55	2874
19	56	2779
20	58	2719
21	61	2715
22	62	2661
23	63	2601
24	67	2628
25	68	2568
26	69	2519
27	72	2500
28	73	2477
29	75	2434
30	76	2390
31	78	2377
32	80	2366
33	81	2323
34	83	2303
35	86	2306
36	88	2296
37	89	2269
38	91	2259
39	93	2243
40	95	2223
41	96	2212
42	99	2205
43	100	2187
44	102	2166
45	104	2165
46	106	2156
47	108	2150
48	111	2155
49	112	2136
50	114	2123
51	116	2114
52	117	2106
53	119	2095
54	120	2076
55	123	2079
56	124	2058
57	125	2039
58	126	2021
59	129	2030
60	130	2016
61	132	2000
62	133	1988
63	136	1992
64	137	1975
65	138	1962
66	140	1953
67	142	1956
68	144	1945
69	145	1938
70	147	1934
71	148	1919
72	150	1909
73	152	1902
74	153	1891
75	154	1877
76	155	1867
77	157	1858
78	158	1848
79	159	1839
80	161	1830
81	162	1817
82	163	1806
83	164	1793
84	165	1780
85	166	1768
86	167	1758
87	168	1746
88	169	1738
89	170	1727
90	171	1717
91	173	1709
92	175	1707
93	177	1713
94	179	1712
95	181	1706
96	182	1698
97	184	1695
98	185	1692
99	187	1685
100	188	1677
101	190	1673
102	191	1664
103	193	1666
104	195	1665
105	198	1676
106	200	1675
107	202	1669
108	204	1668
109	206	1666
110	207	1659
111	208	1655
112	210	1652
113	212	1650
114	213	1645
115	216	1647
116	218	1647
117	220	1645
118	224	1665
119	226	1658
120	228	1657
121	229	1654
122	231	1652
123	232	1644
124	235	1650
125	236	1642
126	237	1635
127	239	1629
128	241	1629
129	242	1624
130	244	1618
131	245	1613
132	246	1608
133	248	1607
134	249	1600
135	251	1595
136	253	1596
137	254	1590
138	256	1591
139	258	1590
140	261	1590
141	262	1584
142	263	1578
143	264	1571
144	266	1573
145	268	1569
146	269	1565
147	271	1564
148	273	1561
149	275	1558
150	276	1553
151	278	1552
152	279	1547
153	281	1543
154	282	1537
155	283	1534
156	286	1538
157	287	1534
158	288	1528
159	291	1528
160	292	1523
161	293	1519
162	294	1514
163	296	1513
164	297	1507
165	299	1502
166	300	1497
167	301	1493
168	303	1491
169	304	1486
170	305	1481
171	306	1475
172	307	1470
173	309	1467
174	310	1461
175	311	1456
176	312	1452
177	313	1446
178	314	1443
179	315	1438
180	316	1433
181	317	1428
182	318	1423
183	319	1419
184	321	1416
185	322	1411
186	324	1409
187	325	1406
188	327	1406
189	328	1402
190	330	1399
191	331	1396
192	333	1393
193	334	1389
194	335	1385
195	336	1380
196	337	1376
197	339	1373
198	341	1372
199	342	1370
200	345	1374
201	347	1373
202	348	1369
203	351	1370
204	353	1369
205	356	1372
206	358	1374
207	361	1376
208	363	1376
209	366	1378
210	368	1377
211	370	1378
212	373	1381
213	376	1383
214	379	1387
215	382	1388
216	385	1390
217	387	1389
218	389	1388
219	391	1387
220	393	1386
221	394	1383
222	396	1381
223	399	1384
224	402	1384
225	404	1385
226	406	1384
227	409	1385
228	411	1384
229	412	1382
230	415	1381
231	417	1381
232	419	1382
233	422	1382
234	424	1382
235	426	1381
236	428	1381
237	431	1382
238	434	1383
239	437	1386
240	439	1384
241	442	1386
242	444	1385
243	446	1382
244	447	1379
245	448	1375
246	450	1372
247	452	1371
248	453	1367
249	454	1363
250	455	1359
251	457	1358
252	459	1356
253	460	1351
254	461	1348
255	462	1344
256	463	1340
257	464	1336
258	465	1331
259	466	1327
260	467	1323
261	468	1319
262	470	1317
263	471	1315
264	472	1311
265	473	1307
