iter	Passed	Remaining
0	2	2196
1	4	2317
2	7	2521
3	10	2638
4	13	2675
5	15	2586
6	17	2525
7	20	2536
8	22	2485
9	24	2456
10	27	2447
11	34	2820
12	38	2917
13	40	2875
14	44	2902
15	46	2837
16	48	2799
17	51	2827
18	53	2773
19	56	2750
20	58	2712
21	60	2680
22	62	2673
23	64	2625
24	66	2598
25	68	2574
26	70	2526
27	71	2476
28	72	2422
29	73	2391
30	75	2356
31	76	2312
32	77	2273
33	78	2239
34	82	2271
35	84	2267
36	87	2267
37	90	2279
38	91	2245
39	93	2236
40	94	2220
41	96	2207
42	98	2201
43	101	2198
44	103	2202
45	105	2179
46	107	2170
47	109	2169
48	110	2142
49	111	2122
50	115	2146
51	116	2128
52	117	2105
53	119	2089
54	121	2089
55	123	2085
56	125	2080
57	128	2081
58	129	2067
59	132	2071
60	134	2074
61	135	2056
62	137	2041
63	139	2042
64	143	2067
65	145	2061
66	148	2072
67	150	2068
68	153	2067
69	155	2064
70	158	2068
71	161	2076
72	164	2093
73	169	2116
74	171	2114
75	174	2122
76	177	2130
77	179	2124
78	181	2110
79	182	2099
80	184	2094
81	186	2089
82	189	2092
83	191	2082
84	192	2068
85	193	2055
86	195	2050
87	196	2037
88	198	2036
89	199	2022
90	201	2015
91	203	2009
92	206	2010
93	208	2009
94	210	2006
95	213	2006
96	215	2006
97	217	2000
98	218	1990
99	219	1979
100	221	1974
101	224	1972
102	225	1962
103	226	1952
104	228	1950
105	231	1951
106	232	1941
107	234	1938
108	237	1940
109	238	1928
110	241	1932
111	243	1932
112	244	1921
113	246	1913
114	247	1907
115	249	1904
116	250	1894
117	252	1884
118	253	1880
119	255	1875
120	257	1867
121	258	1859
122	260	1854
123	262	1852
124	263	1842
125	264	1836
126	266	1829
127	267	1822
128	268	1813
129	269	1805
130	271	1801
131	275	1809
132	276	1801
133	277	1796
134	280	1794
135	281	1787
136	282	1780
137	284	1776
138	286	1776
139	288	1771
140	290	1766
141	291	1764
142	293	1761
143	295	1756
144	297	1754
145	300	1756
146	301	1750
147	303	1749
148	306	1749
149	308	1748
150	311	1748
151	313	1746
152	314	1738
153	316	1739
154	318	1734
155	319	1730
156	320	1723
157	323	1721
158	324	1715
159	325	1708
160	326	1701
161	328	1697
162	329	1693
163	331	1688
164	332	1682
165	333	1675
166	335	1671
167	337	1669
168	338	1662
169	339	1656
170	340	1652
171	342	1647
172	343	1640
173	344	1634
174	345	1630
175	348	1630
176	349	1624
177	350	1618
178	351	1612
179	353	1608
180	354	1604
181	355	1598
182	356	1592
183	357	1586
184	359	1585
185	362	1585
186	364	1583
187	366	1584
188	368	1582
189	370	1581
190	374	1585
191	376	1586
192	378	1584
193	380	1582
194	382	1579
195	384	1578
196	386	1576
197	388	1571
198	389	1565
199	390	1560
200	391	1557
201	393	1553
202	394	1548
203	396	1545
204	397	1541
205	398	1537
206	399	1532
207	401	1527
208	403	1525
209	405	1524
210	407	1525
211	410	1525
212	412	1524
213	414	1522
214	415	1517
215	418	1517
216	420	1516
217	421	1512
218	424	1512
219	425	1509
220	428	1508
221	430	1507
222	432	1506
223	434	1504
224	436	1504
225	438	1502
226	440	1501
227	443	1500
228	445	1501
229	449	1503
230	450	1501
231	452	1498
232	454	1496
233	456	1492
234	458	1493
235	460	1490
236	462	1488
237	464	1487
238	466	1486
239	468	1483
240	470	1483
241	473	1483
242	476	1484
243	478	1481
244	479	1477
245	480	1474
246	482	1471
247	485	1472
248	487	1470
249	489	1469
250	491	1467
251	493	1464
252	495	1462
253	497	1461
254	500	1461
255	502	1460
256	504	1459
257	506	1457
258	508	1455
259	510	1451
260	511	1447
261	512	1443
262	513	1440
263	515	1436
264	516	1433
265	517	1428
266	518	1423
267	519	1419
268	521	1417
269	522	1413
270	523	1409
271	524	1404
272	525	1400
273	527	1397
274	528	1392
275	529	1388
276	530	1383
277	531	1379
278	532	1375
279	533	1372
280	534	1368
281	536	1364
282	536	1360
283	537	1356
284	539	1353
285	540	1348
286	541	1345
287	542	1341
288	543	1337
289	544	1333
290	545	1329
291	546	1325
292	547	1321
293	549	1319
294	551	1317
295	552	1313
296	553	1309
297	554	1305
298	555	1302
299	556	1298
300	558	1296
301	559	1292
302	560	1288
303	561	1285
304	562	1282
305	564	1279
306	565	1275
307	566	1272
308	567	1268
309	568	1264
310	569	1261
311	570	1258
312	571	1254
313	572	1251
314	573	1247
315	574	1244
316	576	1241
317	577	1238
318	578	1234
319	579	1230
320	580	1227
321	582	1225
322	583	1224
323	586	1223
324	588	1221
325	590	1221
326	592	1220
327	594	1217
328	595	1214
329	596	1211
330	597	1208
331	599	1206
332	601	1205
333	602	1201
334	603	1198
335	605	1196
336	607	1194
337	608	1191
338	609	1188
339	610	1185
340	612	1182
341	613	1181
342	614	1177
343	615	1174
344	616	1171
345	618	1169
346	619	1166
347	621	1164
348	622	1161
349	623	1157
350	624	1154
351	625	1152
352	626	1148
353	627	1145
354	628	1142
355	629	1139
356	632	1139
357	633	1136
358	634	1133
359	635	1130
360	636	1126
361	637	1123
362	639	1121
363	640	1118
364	641	1115
365	642	1113
366	643	1110
367	645	1109
368	647	1107
369	649	1105
370	650	1102
371	652	1100
372	653	1097
373	654	1094
374	655	1092
375	657	1090
376	658	1087
377	659	1085
378	660	1082
379	663	1083
380	665	1081
381	667	1079
382	668	1077
383	670	1075
384	671	1073
385	672	1070
386	674	1068
387	677	1068
388	679	1067
389	681	1066
390	683	1064
391	684	1062
392	686	1060
393	690	1061
394	693	1061
395	695	1060
396	697	1059
397	700	1059
398	702	1057
399	703	1055
400	705	1053
401	707	1052
402	709	1050
403	710	1048
404	711	1045
405	713	1044
406	715	1042
407	716	1040
408	717	1037
409	719	1035
410	721	1033
411	722	1031
412	724	1029
413	726	1028
414	727	1026
415	728	1023
416	730	1020
417	732	1020
418	734	1018
419	735	1016
420	737	1014
421	740	1013
422	741	1011
423	743	1010
424	746	1009
425	747	1007
426	749	1005
427	751	1004
428	752	1001
429	754	999
430	755	997
431	758	997
432	761	996
433	762	994
434	764	992
435	767	992
436	768	990
437	770	989
438	772	987
439	774	985
440	775	982
441	777	982
442	780	981
443	781	978
444	783	976
445	785	975
446	786	972
447	787	970
448	790	970
449	793	970
450	795	967
451	796	965
452	797	962
453	798	960
454	800	958
455	802	957
456	804	956
457	806	954
458	808	953
459	810	951
460	812	949
461	813	947
462	815	946
