iter	Logloss	Accuracy
0	0.6929316592	0.5426497278
1	0.6909371716	0.6243194192
2	0.6907470365	0.6243194192
3	0.6905681526	0.5426497278
4	0.6903998543	0.5426497278
5	0.6902415154	0.5426497278
6	0.6900925466	0.5426497278
7	0.6858198638	0.5426497278
8	0.6856933454	0.5426497278
9	0.6855743141	0.5426497278
10	0.6854623268	0.5426497278
11	0.6816956035	0.5426497278
12	0.6815987957	0.5426497278
13	0.6815077167	0.5426497278
14	0.6787121783	0.6120689655
15	0.6786309361	0.6120689655
16	0.6785545014	0.6120689655
17	0.6746512034	0.610707804
18	0.6745861486	0.610707804
19	0.6745249433	0.5948275862
20	0.6744673595	0.5948275862
21	0.6741628388	0.5948275862
22	0.6741119565	0.5834845735
23	0.6740640848	0.5834845735
24	0.6740190455	0.5834845735
25	0.673976671	0.5834845735
26	0.6739368036	0.5834845735
27	0.6738992948	0.5834845735
28	0.6738640051	0.5834845735
29	0.6738308032	0.5426497278
30	0.6737995654	0.5426497278
31	0.6737701757	0.5426497278
32	0.6737425245	0.5426497278
33	0.6717801953	0.5834845735
34	0.6689735891	0.5834845735
35	0.6689523636	0.5834845735
36	0.6689323936	0.5834845735
37	0.6626050471	0.6202359347
38	0.6625886448	0.6170598911
39	0.6541794293	0.6406533575
40	0.6541671162	0.6406533575
41	0.6541555313	0.639292196
42	0.6541446316	0.6370235935
43	0.6541343764	0.6320326679
44	0.6449025483	0.7304900181
45	0.6448948741	0.7304900181
46	0.6448876536	0.7037205082
47	0.6437248984	0.7264065336
48	0.6437185019	0.7236842105
49	0.6437124836	0.7236842105
50	0.6415012985	0.7250453721
51	0.6414957879	0.7250453721
52	0.6414906031	0.7250453721
53	0.6414857249	0.7250453721
54	0.6414811352	0.7050816697
55	0.6414768168	0.7050816697
56	0.6414727537	0.7050816697
57	0.629776837	0.7781306715
58	0.6297735378	0.7781306715
59	0.6297704337	0.7781306715
60	0.629586783	0.775862069
61	0.6295840511	0.775862069
62	0.6295814808	0.775862069
63	0.6295790624	0.775862069
64	0.6246773725	0.778584392
65	0.6246755753	0.777676951
66	0.6246738844	0.7835753176
67	0.6246722934	0.7835753176
68	0.6246707965	0.7835753176
69	0.6246693881	0.7835753176
70	0.6246680629	0.7835753176
71	0.624666816	0.7835753176
72	0.6226147928	0.7749546279
73	0.6180368759	0.7808529946
74	0.6180361772	0.7808529946
75	0.6180355198	0.779491833
76	0.6180349012	0.779491833
77	0.6180343192	0.779491833
78	0.6180337716	0.780399274
79	0.6180332563	0.780399274
80	0.6180327715	0.780399274
81	0.6180323295	0.780399274
82	0.6180318995	0.780399274
83	0.6180314949	0.7813067151
84	0.6180311142	0.7808529946
85	0.6180310916	0.7808529946
86	0.6180308009	0.7808529946
87	0.6180307592	0.7808529946
88	0.6137011706	0.7899274047
89	0.6137011684	0.7899274047
90	0.6137010284	0.7899274047
91	0.613700961	0.7899274047
92	0.6137008629	0.7899274047
93	0.6137008292	0.7899274047
94	0.6137008107	0.7899274047
95	0.6137007583	0.7899274047
96	0.6033510771	0.8121597096
97	0.6033510748	0.8121597096
98	0.6033510024	0.8121597096
99	0.6033509342	0.8121597096
100	0.6033508701	0.8121597096
101	0.597025129	0.8117059891
102	0.5970251289	0.8117059891
103	0.5945674113	0.8135208711
104	0.5932779634	0.8157894737
105	0.5894054545	0.8139745917
106	0.5894054402	0.8139745917
107	0.5894053626	0.8139745917
108	0.5889684221	0.8176043557
109	0.5889684126	0.8176043557
110	0.5827902049	0.8207803993
111	0.5827899132	0.8207803993
112	0.5827896388	0.8207803993
113	0.5827893806	0.8207803993
114	0.5827891377	0.8207803993
115	0.5827889091	0.8207803993
116	0.5827889057	0.8207803993
117	0.5827886908	0.8207803993
118	0.5827884886	0.8207803993
119	0.5827882984	0.8207803993
120	0.5827881194	0.8207803993
121	0.5827880609	0.8207803993
122	0.5827880557	0.8207803993
123	0.582787891	0.8207803993
124	0.5827878445	0.8207803993
125	0.5824710919	0.8185117967
126	0.5824710916	0.8185117967
127	0.5824710913	0.8185117967
128	0.5824710901	0.8185117967
129	0.5824710889	0.8185117967
130	0.5824710466	0.8185117967
131	0.5786434901	0.8244101633
132	0.5786432762	0.8244101633
133	0.5786432395	0.8244101633
134	0.5786430404	0.8244101633
135	0.5786428531	0.8244101633
136	0.5786427258	0.8244101633
137	0.5786426513	0.8244101633
138	0.578642487	0.8244101633
139	0.5712696162	0.8343920145
140	0.5679134746	0.8352994555
141	0.5679131202	0.8352994555
142	0.5662452313	0.8352994555
143	0.557969875	0.8402903811
144	0.5555934115	0.8457350272
145	0.5540400268	0.8443738657
146	0.5540396083	0.8443738657
147	0.5519251612	0.8457350272
148	0.5519246954	0.8457350272
149	0.5510265613	0.8439201452
150	0.5510261146	0.8439201452
151	0.5492782825	0.8416515426
152	0.5492777198	0.8416515426
153	0.5492771904	0.8416515426
154	0.5492766922	0.8416515426
155	0.5492762235	0.8416515426
156	0.5492757825	0.8416515426
157	0.5492753675	0.8416515426
158	0.5491832379	0.8402903811
159	0.5491828673	0.8402903811
160	0.5491826889	0.8402903811
161	0.5491823508	0.8416515426
162	0.5491820327	0.8416515426
163	0.5491817334	0.8416515426
164	0.5491814517	0.8416515426
165	0.5491811867	0.8430127042
166	0.5491809374	0.8430127042
167	0.5491807027	0.8434664247
168	0.5491806504	0.8434664247
169	0.5491804328	0.8434664247
170	0.5491803424	0.8434664247
171	0.5491802731	0.8434664247
172	0.5491800778	0.8434664247
173	0.549179894	0.8434664247
174	0.549179721	0.8434664247
175	0.544520908	0.8407441016
176	0.5445205492	0.8407441016
177	0.544520329	0.8407441016
178	0.5445200044	0.8407441016
179	0.5445196989	0.8407441016
180	0.5445194115	0.8407441016
181	0.5445191411	0.8407441016
182	0.5445188867	0.8407441016
183	0.5445188299	0.8407441016
184	0.5445185939	0.8407441016
185	0.5445184802	0.8407441016
186	0.5371758873	0.8470961887
187	0.537175757	0.8470961887
188	0.5371755407	0.8470961887
189	0.5371753372	0.8461887477
190	0.5371751458	0.8461887477
191	0.537175113	0.8461887477
192	0.5371751017	0.8461887477
193	0.5371749984	0.8461887477
194	0.534338794	0.8493647913
195	0.5343387142	0.8493647913
196	0.5342247275	0.8461887477
197	0.5342247139	0.8461887477
198	0.5342245012	0.8461887477
199	0.5342243011	0.8461887477
200	0.5342242772	0.8461887477
201	0.5342242653	0.8461887477
202	0.5342240791	0.8461887477
203	0.5342239895	0.8461887477
204	0.5342239787	0.8461887477
205	0.5342239479	0.8461887477
206	0.534223874	0.8461887477
207	0.5341495011	0.8448275862
208	0.5341494327	0.8448275862
209	0.5341494279	0.8448275862
210	0.5341493507	0.8448275862
211	0.5341492519	0.8448275862
212	0.5341491801	0.8448275862
213	0.5341491104	0.8448275862
214	0.5341490521	0.8448275862
215	0.5341489354	0.8448275862
216	0.5341489315	0.8448275862
217	0.5341488894	0.8448275862
218	0.534148848	0.8448275862
219	0.5341488268	0.8448275862
220	0.5341487678	0.8448275862
221	0.5341487106	0.8448275862
222	0.5341486939	0.8448275862
223	0.5341486773	0.8448275862
224	0.5341485708	0.8448275862
225	0.5341485676	0.8448275862
226	0.5341485613	0.8448275862
227	0.5340446366	0.8434664247
228	0.5326849572	0.8484573503
229	0.5326848312	0.8484573503
230	0.5308837967	0.8484573503
231	0.5308837503	0.8484573503
232	0.530883731	0.8484573503
233	0.5308836786	0.8484573503
234	0.5308835309	0.8484573503
235	0.5308834597	0.8484573503
236	0.5308834427	0.8484573503
237	0.5256391062	0.8507259528
238	0.5235248859	0.8493647913
239	0.5235246993	0.8493647913
240	0.5235246722	0.8493647913
241	0.5235244983	0.8493647913
242	0.5232928232	0.8493647913
243	0.5232928033	0.8493647913
244	0.5232926425	0.8493647913
245	0.5232926234	0.8493647913
246	0.5232926186	0.8493647913
247	0.5232925011	0.8493647913
248	0.5232924672	0.8493647913
249	0.5232924338	0.8493647913
250	0.5232924327	0.8493647913
251	0.523292391	0.8493647913
252	0.5232923501	0.8493647913
253	0.5232923036	0.8493647913
254	0.5232922833	0.8493647913
255	0.5232921894	0.8493647913
256	0.5232920764	0.8493647913
257	0.5232920615	0.8493647913
258	0.5232920606	0.8493647913
259	0.5232920597	0.8493647913
260	0.5232920274	0.8493647913
261	0.5232024096	0.8493647913
262	0.5167882287	0.8502722323
263	0.5167881791	0.8502722323
264	0.5154286559	0.8493647913
265	0.5154286319	0.8493647913
266	0.5154286111	0.8493647913
267	0.5137242794	0.8520871143
268	0.5080607972	0.8548094374
269	0.5076766673	0.8548094374
270	0.507676657	0.8548094374
271	0.5076766544	0.8548094374
272	0.5070264085	0.8539019964
273	0.5070263975	0.8539019964
274	0.5070263947	0.8539019964
275	0.507026392	0.8539019964
276	0.5070263417	0.8539019964
277	0.5070263049	0.8539019964
278	0.5070262924	0.8539019964
279	0.5070262569	0.8539019964
280	0.5070262168	0.8539019964
281	0.507026203	0.8539019964
282	0.5070262006	0.8539019964
283	0.5070261745	0.8539019964
284	0.5070261699	0.8539019964
285	0.5070261565	0.8539019964
286	0.5070260841	0.8539019964
287	0.5070260798	0.8539019964
288	0.5070260712	0.8539019964
289	0.5070260525	0.8539019964
290	0.507026052	0.8539019964
291	0.507026029	0.8539019964
292	0.5070260136	0.8539019964
293	0.5053633503	0.8511796733
294	0.5053633369	0.8511796733
295	0.5053633335	0.8511796733
296	0.50536328	0.8511796733
297	0.5053632543	0.8511796733
298	0.499059999	0.8525408348
299	0.4990599946	0.8525408348
300	0.4988305821	0.8525408348
301	0.4988305125	0.8525408348
302	0.4988305084	0.8525408348
303	0.4987901739	0.8525408348
304	0.4987901119	0.8525408348
305	0.4987900944	0.8525408348
306	0.4987900808	0.8525408348
307	0.4987900559	0.8525408348
308	0.4987900009	0.8525408348
309	0.4987900001	0.8525408348
310	0.4987899993	0.8525408348
311	0.4987899927	0.8525408348
312	0.4987899415	0.8525408348
313	0.4987899354	0.8525408348
314	0.498789924	0.8525408348
315	0.498789918	0.8525408348
316	0.4987898842	0.8525408348
317	0.4987898729	0.8525408348
318	0.4987898287	0.8525408348
319	0.4987898236	0.8525408348
320	0.4987898223	0.8525408348
321	0.4987898109	0.8525408348
322	0.4987898047	0.8525408348
323	0.4987518884	0.8525408348
324	0.4987518783	0.8525408348
325	0.4987518459	0.8525408348
326	0.4985369625	0.8548094374
327	0.4985369602	0.8548094374
328	0.4985369536	0.8548094374
329	0.4985369535	0.8548094374
330	0.4966116852	0.8543557169
331	0.4966116338	0.8543557169
332	0.4966115855	0.8543557169
333	0.4966115851	0.8543557169
334	0.4966115715	0.8543557169
335	0.4933243278	0.8520871143
336	0.4933242908	0.8520871143
337	0.4933242669	0.8520871143
338	0.4933242628	0.8520871143
339	0.4877669374	0.8561705989
340	0.487766883	0.8561705989
